time,bpm
20:41:00,6.5
20:41:15,6.1
20:41:30,22.9
20:41:45,6.5
20:42:00,17.2
20:42:15,18.7
20:42:30,4.2
20:42:45,6.8
20:43:00,5.5
20:43:15,7.8
20:43:30,7.6
20:43:45,6.7
20:44:00,4.0
20:44:15,4.9
20:44:30,6.8
20:44:45,3.8
20:45:00,9.7
20:45:15,16.7
20:45:30,6.6
20:45:45,4.1
20:46:00,7.7
20:46:15,4.4
20:46:30,5.8
20:46:45,5.0
20:47:00,4.3
20:47:15,5.8
20:47:30,6.1
20:47:45,6.2
20:48:00,6.7
20:48:15,4.3
20:48:30,7.0
20:48:45,6.3
20:49:00,6.1
20:49:15,5.8
20:49:30,6.6
20:49:45,6.1
20:50:00,6.3
20:50:15,6.0
20:50:30,4.5
20:50:45,2.5
20:51:00,5.2
20:51:15,7.0
20:51:30,8.2
20:51:45,6.2
20:52:00,6.7
20:52:15,9.6
20:52:30,9.3
20:52:45,8.3
20:53:00,8.7
20:53:15,9.4
20:53:30,9.5
20:53:45,8.4
20:54:00,9.4
20:54:15,9.3
20:54:30,9.7
20:54:45,8.9
20:55:00,10.3
20:55:15,7.5
20:55:30,11.9
20:55:45,6.8
20:56:00,9.4
20:56:15,19.0
20:56:30,10.0
20:56:45,17.5
20:57:00,11.0
20:57:15,10.8
20:57:30,10.2
20:57:45,12.6
20:58:00,13.3
20:58:15,5.9
20:58:30,12.5
20:58:45,12.2
20:59:00,11.5
20:59:15,11.6
20:59:30,12.3
20:59:45,8.6
21:00:00,11.4
21:00:15,7.8
21:00:30,19.9
21:00:45,10.6
21:01:00,6.3
21:01:15,13.6
21:01:30,7.9
21:01:45,10.3
21:02:00,6.7
21:02:15,7.3
21:02:30,7.6
21:02:45,7.3
21:03:00,7.2
21:03:15,7.4
21:03:30,8.5
21:03:45,7.3
21:04:00,7.2
21:04:15,7.7
21:04:30,7.6
21:04:45,7.0
21:05:00,8.4
21:05:15,7.5
21:05:30,10.7
21:05:45,6.7
21:06:00,6.6
21:06:15,9.9
21:06:30,13.4
21:06:45,6.5
21:07:00,14.3
21:07:15,14.5
21:07:30,16.0
21:07:45,15.8
21:08:00,16.2
21:08:15,13.6
21:08:30,13.6
21:08:45,14.6
21:09:00,15.5
21:09:15,15.0
21:09:30,7.9
21:09:45,16.6
21:10:00,16.9
21:10:15,6.9
21:10:30,5.9
21:10:45,6.2
21:11:00,6.3
21:11:15,9.5
21:11:30,5.5
21:11:45,14.5
21:12:00,27.2
21:12:15,29.3
21:12:30,6.8
21:12:45,6.5
21:13:00,6.1
21:13:15,8.8
21:13:30,8.9
21:13:45,5.2
21:14:00,4.8
21:14:15,
21:14:30,14.3
21:14:45,12.6
21:15:00,10.0
21:15:15,8.4
21:15:30,7.4
21:15:45,6.9
21:16:00,13.5
21:16:15,6.5
21:16:30,9.4
21:16:45,6.5
21:17:00,3.8
21:17:15,5.7
21:17:30,7.2
21:17:45,6.1
21:18:00,7.4
21:18:15,10.0
21:18:30,9.9
21:18:45,7.9
21:19:00,11.5
21:19:15,12.2
21:19:30,7.1
21:19:45,13.2
21:20:00,10.4
21:20:15,14.8
21:20:30,14.9
21:20:45,14.2
21:21:00,9.6
21:21:15,8.0
21:21:30,4.5
21:21:45,7.5
21:22:00,6.6
21:22:15,7.3
21:22:30,8.6
21:22:45,7.0
21:23:00,7.3
21:23:15,5.8
21:23:30,3.7
21:23:45,7.6
21:24:00,8.6
21:24:15,16.3
21:24:30,8.1
21:24:45,13.5
21:25:00,16.5
21:25:15,7.4
21:25:30,11.3
21:25:45,8.3
21:26:00,7.7
21:26:15,7.4
21:26:30,5.6
21:26:45,9.2
21:27:00,7.2
21:27:15,7.6
21:27:30,8.2
21:27:45,6.1
21:28:00,7.8
21:28:15,8.1
21:28:30,10.1
21:28:45,8.4
21:29:00,6.1
21:29:15,5.3
21:29:30,15.0
21:29:45,6.4
21:30:00,7.3
21:30:15,6.5
21:30:30,7.3
21:30:45,7.5
21:31:00,7.6
21:31:15,9.1
21:31:30,8.5
21:31:45,5.6
21:32:00,6.6
21:32:15,13.4
21:32:30,7.9
